Team,Total Home Goals,Total Away Goals,Total Goals,Average Home Goals,Average Away Goals,Average Total Goals
Arsenal,42,31,73,2.210526315789474,1.631578947368421,1.9210526315789473
Bournemouth,30,26,56,1.5789473684210527,1.368421052631579,1.4736842105263157
BrightonHoveAlbion,19,16,35,1.0,0.8421052631578947,0.9210526315789473
Burnley,24,21,45,1.263157894736842,1.105263157894737,1.1842105263157894
CardiffCity,21,13,34,1.105263157894737,0.6842105263157895,0.8947368421052632
Chelsea,39,24,63,2.0526315789473686,1.263157894736842,1.6578947368421053
CrystalPalace,19,32,51,1.0,1.6842105263157894,1.3421052631578947
Everton,30,24,54,1.5789473684210527,1.263157894736842,1.4210526315789473
Fulham,22,12,34,1.1578947368421053,0.631578947368421,0.8947368421052632
HuddersfieldTown,10,12,22,0.5263157894736842,0.631578947368421,0.5789473684210527
LeicesterCity,24,27,51,1.263157894736842,1.4210526315789473,1.3421052631578947
Liverpool,55,34,89,2.8947368421052633,1.7894736842105263,2.3421052631578947
ManchesterCity,57,38,95,3.0,2.0,2.5
ManchesterUnited,33,32,65,1.736842105263158,1.6842105263157894,1.7105263157894737
Newcastle,24,18,42,1.263157894736842,0.9473684210526315,1.105263157894737
Southampton,27,18,45,1.4210526315789473,0.9473684210526315,1.1842105263157894
TottenhamHotspur,34,33,67,1.7894736842105263,1.736842105263158,1.763157894736842
Watford,26,26,52,1.368421052631579,1.368421052631579,1.368421052631579
WestHamUnited,32,20,52,1.6842105263157894,1.0526315789473684,1.368421052631579
WolverhamptonWanderers,28,19,47,1.4736842105263157,1.0,1.236842105263158
